episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,timesteps_this_iter,agent_timesteps_total,done,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,hist_stats/episode_reward,hist_stats/episode_lengths,timers/learn_time_ms,timers/learn_throughput,info/num_steps_sampled,info/num_agent_steps_sampled,info/num_steps_trained,info/num_steps_trained_this_iter,perf/cpu_util_percent,perf/ram_util_percent,info/learner/default_policy/learner_stats/allreduce_latency,info/learner/default_policy/learner_stats/bc_loss,info/learner/default_policy/learner_stats/accuracy,info/learner/default_policy/learner_stats/cur_lr,info/learner/default_policy/learner_stats/validation/cross_entropy
nan,nan,nan,nan,0,0,14500,14500,14500,False,0,1,default,c1d2816061c04cf19e2506200cf551de,2023-04-13_23-10-49,1681452649,1.7789766788482666,1.7789766788482666,10816,DESKTOP-F4VQ8OS,127.0.0.1,1.7789766788482666,14500,1,[],[],1657.972,8745.622,14500,14500,14500,14500,12.200000000000001,73.33333333333333,0.0,1.3071918098937048,0.5785379955947136,0.0010000000000000005,nan
nan,nan,nan,nan,0,0,29000,14500,29000,False,0,2,default,c1d2816061c04cf19e2506200cf551de,2023-04-13_23-10-50,1681452650,1.6705827713012695,3.449559450149536,10816,DESKTOP-F4VQ8OS,127.0.0.1,3.449559450149536,29000,2,[],[],1617.273,8965.708,29000,29000,29000,14500,10.0,73.9,0.0,1.2487858266032215,0.6037995594713657,0.0010000000000000005,nan
nan,nan,nan,nan,0,0,43500,14500,43500,False,0,3,default,c1d2816061c04cf19e2506200cf551de,2023-04-13_23-10-52,1681452652,1.6274166107177734,5.07697606086731,10816,DESKTOP-F4VQ8OS,127.0.0.1,5.07697606086731,43500,3,[],[],1589.66,9121.447,43500,43500,43500,14500,10.566666666666666,73.9,0.0,1.23524721052153,0.6038530959956971,0.0010000000000000005,nan
nan,nan,nan,nan,0,0,58000,14500,58000,False,0,4,default,c1d2816061c04cf19e2506200cf551de,2023-04-13_23-10-54,1681452654,1.6732850074768066,6.750261068344116,10816,DESKTOP-F4VQ8OS,127.0.0.1,6.750261068344116,58000,4,[],[],1587.831,9131.954,58000,58000,58000,14500,10.85,74.0,0.0,1.1945196686862323,0.6049620656189939,0.0010000000000000005,nan
nan,nan,nan,nan,0,0,72500,14500,72500,False,0,5,default,c1d2816061c04cf19e2506200cf551de,2023-04-13_23-10-55,1681452655,1.6156246662139893,8.365885734558105,10816,DESKTOP-F4VQ8OS,127.0.0.1,8.365885734558105,72500,5,[],[],1576.801,9195.833,72500,72500,72500,14500,10.4,73.95,0.0,1.1162863103303615,0.6046102545860055,0.0010000000000000005,nan
nan,nan,nan,nan,0,0,87000,14500,87000,False,0,6,default,c1d2816061c04cf19e2506200cf551de,2023-04-13_23-10-57,1681452657,1.673302173614502,10.039187908172607,10816,DESKTOP-F4VQ8OS,127.0.0.1,10.039187908172607,87000,6,[],[],1579.051,9182.73,87000,87000,87000,14500,10.9,73.93333333333334,0.0,1.031715793494086,0.611447626010962,0.0010000000000000005,nan
nan,nan,nan,nan,0,0,101500,14500,101500,False,0,7,default,c1d2816061c04cf19e2506200cf551de,2023-04-13_23-10-59,1681452659,1.6680386066436768,11.707226514816284,10816,DESKTOP-F4VQ8OS,127.0.0.1,11.707226514816284,101500,7,[],[],1578.471,9186.106,101500,101500,101500,14500,10.35,73.9,0.0,0.9870352059734026,0.6124495228481713,0.0010000000000000005,nan
nan,nan,nan,nan,0,0,116000,14500,116000,False,0,8,default,c1d2816061c04cf19e2506200cf551de,2023-04-13_23-11-01,1681452661,1.8030800819396973,13.510306596755981,10816,DESKTOP-F4VQ8OS,127.0.0.1,13.510306596755981,116000,8,[],[],1595.727,9086.766,116000,116000,116000,14500,10.533333333333333,74.03333333333333,0.0,0.9573282982809428,0.6137038057070997,0.0010000000000000005,nan
nan,nan,nan,nan,0,0,130500,14500,130500,False,0,9,default,c1d2816061c04cf19e2506200cf551de,2023-04-13_23-11-02,1681452662,1.7422523498535156,15.252558946609497,10816,DESKTOP-F4VQ8OS,127.0.0.1,15.252558946609497,130500,9,[],[],1600.785,9058.054,130500,130500,130500,14500,10.85,74.05,0.0,0.934774257012926,0.6171836758500154,0.0010000000000000005,nan
nan,nan,nan,nan,0,0,145000,14500,145000,False,0,10,default,c1d2816061c04cf19e2506200cf551de,2023-04-13_23-11-04,1681452664,1.6751151084899902,16.927674055099487,10816,DESKTOP-F4VQ8OS,127.0.0.1,16.927674055099487,145000,10,[],[],1597.901,9074.403,145000,145000,145000,14500,10.933333333333332,74.0,0.0,0.9195364918477735,0.6199216837399857,0.0010000000000000005,nan
nan,nan,nan,nan,0,0,159500,14500,159500,False,0,11,default,c1d2816061c04cf19e2506200cf551de,2023-04-13_23-11-06,1681452666,1.7668280601501465,18.694502115249634,10816,DESKTOP-F4VQ8OS,127.0.0.1,18.694502115249634,159500,11,[],[],1600.187,9061.441,159500,159500,159500,14500,10.45,74.0,0.0,0.9035759610226501,0.6222237519230611,0.0010000000000000005,nan
nan,nan,nan,nan,0,0,174000,14500,174000,False,0,12,default,c1d2816061c04cf19e2506200cf551de,2023-04-13_23-11-08,1681452668,1.728888988494873,20.423391103744507,10816,DESKTOP-F4VQ8OS,127.0.0.1,20.423391103744507,174000,12,[],[],1607.282,9021.441,174000,174000,174000,14500,10.1,74.0,0.0,0.8997653047943955,0.6226749877047434,0.0010000000000000005,nan
nan,nan,nan,nan,0,0,188500,14500,188500,False,0,13,default,c1d2816061c04cf19e2506200cf551de,2023-04-13_23-11-09,1681452669,1.7234935760498047,22.14688467979431,10816,DESKTOP-F4VQ8OS,127.0.0.1,22.14688467979431,188500,13,[],[],1616.697,8968.905,188500,188500,188500,14500,9.7,74.0,0.0,0.8838183289057358,0.6188815467158079,0.0010000000000000005,nan
nan,nan,nan,nan,0,0,203000,14500,203000,False,0,14,default,c1d2816061c04cf19e2506200cf551de,2023-04-13_23-11-11,1681452671,1.6865577697753906,23.833442449569702,10816,DESKTOP-F4VQ8OS,127.0.0.1,23.833442449569702,203000,14,[],[],1618.826,8957.107,203000,203000,203000,14500,11.066666666666668,73.9,0.0,0.8771049782042987,0.6226520435925622,0.0010000000000000005,nan
nan,nan,nan,nan,0,0,217500,14500,217500,False,0,15,default,c1d2816061c04cf19e2506200cf551de,2023-04-13_23-11-13,1681452673,1.7716846466064453,25.605127096176147,10816,DESKTOP-F4VQ8OS,127.0.0.1,25.605127096176147,217500,15,[],[],1632.326,8883.028,217500,217500,217500,14500,10.6,73.95,0.0,0.8705820178670505,0.6234703867445959,0.0010000000000000005,nan
nan,nan,nan,nan,0,0,232000,14500,232000,False,0,16,default,c1d2816061c04cf19e2506200cf551de,2023-04-13_23-11-15,1681452675,1.6788384914398193,27.283965587615967,10816,DESKTOP-F4VQ8OS,127.0.0.1,27.283965587615967,232000,16,[],[],1631.982,8884.904,232000,232000,232000,14500,11.45,73.9,0.0,0.864812167993201,0.6250458884869378,0.0010000000000000005,nan
