episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,timesteps_this_iter,agent_timesteps_total,done,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,hist_stats/episode_reward,hist_stats/episode_lengths,timers/learn_time_ms,timers/learn_throughput,info/num_steps_sampled,info/num_agent_steps_sampled,info/num_steps_trained,info/num_steps_trained_this_iter,perf/cpu_util_percent,perf/ram_util_percent,info/learner/default_policy/learner_stats/allreduce_latency,info/learner/default_policy/learner_stats/bc_loss,info/learner/default_policy/learner_stats/accuracy,info/learner/default_policy/learner_stats/cur_lr,info/learner/default_policy/learner_stats/validation/cross_entropy
nan,nan,nan,nan,0,0,14500,14500,14500,False,0,1,default,97737341c16f41d5838ecdcb0e66e3a0,2023-04-12_23-33-57,1681367637,0.45658302307128906,0.45658302307128906,12512,DESKTOP-F4VQ8OS,127.0.0.1,0.45658302307128906,14500,1,[],[],417.537,34727.463,14500,14500,14500,14500,20.5,83.5,0.0,1.2719442660588,0.6013904185022027,0.0010000000000000005,nan
nan,nan,nan,nan,0,0,29000,14500,29000,False,0,2,default,97737341c16f41d5838ecdcb0e66e3a0,2023-04-12_23-33-58,1681367638,0.4030637741088867,0.8596467971801758,12512,DESKTOP-F4VQ8OS,127.0.0.1,0.8596467971801758,29000,2,[],[],394.796,36727.85,29000,29000,29000,14500,7.7,83.7,0.0,1.1121970055386883,0.604487885462555,0.0010000000000000005,nan
nan,nan,nan,nan,0,0,43500,14500,43500,False,0,3,default,97737341c16f41d5838ecdcb0e66e3a0,2023-04-12_23-33-58,1681367638,0.40166544914245605,1.2613122463226318,12512,DESKTOP-F4VQ8OS,127.0.0.1,1.2613122463226318,43500,3,[],[],387.076,37460.307,43500,43500,43500,14500,,,0.0,1.0529414097643108,0.6079448114932896,0.0010000000000000005,nan
nan,nan,nan,nan,0,0,58000,14500,58000,False,0,4,default,97737341c16f41d5838ecdcb0e66e3a0,2023-04-12_23-33-58,1681367638,0.4080078601837158,1.6693201065063477,12512,DESKTOP-F4VQ8OS,127.0.0.1,1.6693201065063477,58000,4,[],[],384.559,37705.536,58000,58000,58000,14500,7.9,83.7,0.0,1.0190618970320613,0.612051823328245,0.0010000000000000005,nan
nan,nan,nan,nan,0,0,72500,14500,72500,False,0,5,default,97737341c16f41d5838ecdcb0e66e3a0,2023-04-12_23-33-59,1681367639,0.4049992561340332,2.074319362640381,12512,DESKTOP-F4VQ8OS,127.0.0.1,2.074319362640381,72500,5,[],[],382.446,37913.854,72500,72500,72500,14500,,,0.0,0.9996399023459346,0.6093138154382748,0.0010000000000000005,nan
nan,nan,nan,nan,0,0,87000,14500,87000,False,0,6,default,97737341c16f41d5838ecdcb0e66e3a0,2023-04-12_23-33-59,1681367639,0.4089987277984619,2.4833180904388428,12512,DESKTOP-F4VQ8OS,127.0.0.1,2.4833180904388428,87000,6,[],[],381.37,38020.793,87000,87000,87000,14500,9.0,83.7,0.0,0.981264110966401,0.6102927679007274,0.0010000000000000005,nan
nan,nan,nan,nan,0,0,101500,14500,101500,False,0,7,default,97737341c16f41d5838ecdcb0e66e3a0,2023-04-12_23-34-00,1681367640,0.41399431228637695,2.8973124027252197,12512,DESKTOP-F4VQ8OS,127.0.0.1,2.8973124027252197,101500,7,[],[],381.746,37983.376,101500,101500,101500,14500,9.1,83.7,0.0,0.9675054694587438,0.6136043806958303,0.0010000000000000005,nan
nan,nan,nan,nan,0,0,116000,14500,116000,False,0,8,default,97737341c16f41d5838ecdcb0e66e3a0,2023-04-12_23-34-00,1681367640,0.41507577896118164,3.3123881816864014,12512,DESKTOP-F4VQ8OS,127.0.0.1,3.3123881816864014,116000,8,[],[],382.028,37955.358,116000,116000,116000,14500,,,0.0,0.9593946203786371,0.6145145008217395,0.0010000000000000005,nan
nan,nan,nan,nan,0,0,130500,14500,130500,False,0,9,default,97737341c16f41d5838ecdcb0e66e3a0,2023-04-12_23-34-00,1681367640,0.41400885581970215,3.7263970375061035,12512,DESKTOP-F4VQ8OS,127.0.0.1,3.7263970375061035,130500,9,[],[],382.247,37933.596,130500,130500,130500,14500,9.2,83.7,0.0,0.95036791284704,0.6172678047864972,0.0010000000000000005,nan
nan,nan,nan,nan,0,0,145000,14500,145000,False,0,10,default,97737341c16f41d5838ecdcb0e66e3a0,2023-04-12_23-34-01,1681367641,0.46300339698791504,4.1894004344940186,12512,DESKTOP-F4VQ8OS,127.0.0.1,4.1894004344940186,145000,10,[],[],387.222,37446.247,145000,145000,145000,14500,,,0.0,0.9449437236995949,0.6169924743900215,0.0010000000000000005,nan
nan,nan,nan,nan,0,0,159500,14500,159500,False,0,11,default,97737341c16f41d5838ecdcb0e66e3a0,2023-04-12_23-34-01,1681367641,0.49700403213500977,4.686404466629028,12512,DESKTOP-F4VQ8OS,127.0.0.1,4.686404466629028,159500,11,[],[],391.769,37011.644,159500,159500,159500,14500,9.5,83.7,0.0,0.9379050857695189,0.6167171439935457,0.0010000000000000005,nan
nan,nan,nan,nan,0,0,174000,14500,174000,False,0,12,default,97737341c16f41d5838ecdcb0e66e3a0,2023-04-12_23-34-02,1681367642,0.4809997081756592,5.1674041748046875,12512,DESKTOP-F4VQ8OS,127.0.0.1,5.1674041748046875,174000,12,[],[],399.565,36289.501,174000,174000,174000,14500,9.5,83.7,0.0,0.9341870514831879,0.6197304820174162,0.0010000000000000005,nan
nan,nan,nan,nan,0,0,188500,14500,188500,False,0,13,default,97737341c16f41d5838ecdcb0e66e3a0,2023-04-12_23-34-02,1681367642,0.4817988872528076,5.649203062057495,12512,DESKTOP-F4VQ8OS,127.0.0.1,5.649203062057495,188500,13,[],[],407.281,35601.981,188500,188500,188500,14500,10.3,83.7,0.0,0.929058627410082,0.6161817792753816,0.0010000000000000005,nan
nan,nan,nan,nan,0,0,203000,14500,203000,False,0,14,default,97737341c16f41d5838ecdcb0e66e3a0,2023-04-12_23-34-03,1681367643,0.44864654541015625,6.097849607467651,12512,DESKTOP-F4VQ8OS,127.0.0.1,6.097849607467651,203000,14,[],[],411.444,35241.74,203000,203000,203000,14500,,,0.0,0.9251882706969845,0.6216042585309907,0.0010000000000000005,nan
nan,nan,nan,nan,0,0,217500,14500,217500,False,0,15,default,97737341c16f41d5838ecdcb0e66e3a0,2023-04-12_23-34-03,1681367643,0.4585227966308594,6.556372404098511,12512,DESKTOP-F4VQ8OS,127.0.0.1,6.556372404098511,217500,15,[],[],416.597,34805.829,217500,217500,217500,14500,7.4,83.7,0.0,0.9220603785850928,0.6183920704845814,0.0010000000000000005,nan
nan,nan,nan,nan,0,0,232000,14500,232000,False,0,16,default,97737341c16f41d5838ecdcb0e66e3a0,2023-04-12_23-34-04,1681367644,0.4490079879760742,7.005380392074585,12512,DESKTOP-F4VQ8OS,127.0.0.1,7.005380392074585,232000,16,[],[],419.503,34564.713,232000,232000,232000,14500,,,0.0,0.9178690821063676,0.6215736661188402,0.0010000000000000005,nan
nan,nan,nan,nan,0,0,246500,14500,246500,False,0,17,default,97737341c16f41d5838ecdcb0e66e3a0,2023-04-12_23-34-04,1681367644,0.42799949645996094,7.433379888534546,12512,DESKTOP-F4VQ8OS,127.0.0.1,7.433379888534546,246500,17,[],[],420.904,34449.7,246500,246500,246500,14500,8.4,83.8,0.0,0.912618832703729,0.6235392193437148,0.0010000000000000005,nan
nan,nan,nan,nan,0,0,261000,14500,261000,False,0,18,default,97737341c16f41d5838ecdcb0e66e3a0,2023-04-12_23-34-05,1681367645,0.4463834762573242,7.87976336479187,12512,DESKTOP-F4VQ8OS,127.0.0.1,7.87976336479187,261000,18,[],[],424.142,34186.65,261000,261000,261000,14500,10.4,83.7,0.0,0.9129583310450752,0.6211377264119455,0.0010000000000000005,nan
nan,nan,nan,nan,0,0,275500,14500,275500,False,0,19,default,97737341c16f41d5838ecdcb0e66e3a0,2023-04-12_23-34-05,1681367645,0.4450070858001709,8.324770450592041,12512,DESKTOP-F4VQ8OS,127.0.0.1,8.324770450592041,275500,19,[],[],426.742,33978.392,275500,275500,275500,14500,,,0.0,0.9091928485731722,0.6214130568084213,0.0010000000000000005,nan
nan,nan,nan,nan,0,0,290000,14500,290000,False,0,20,default,97737341c16f41d5838ecdcb0e66e3a0,2023-04-12_23-34-06,1681367646,0.4470670223236084,8.77183747291565,12512,DESKTOP-F4VQ8OS,127.0.0.1,8.77183747291565,290000,20,[],[],424.748,34137.87,290000,290000,290000,14500,9.5,83.7,0.0,0.9053965547011287,0.6257112701033706,0.0010000000000000005,nan
nan,nan,nan,nan,0,0,304500,14500,304500,False,0,21,default,97737341c16f41d5838ecdcb0e66e3a0,2023-04-12_23-34-06,1681367646,0.4600081443786621,9.231845617294312,12512,DESKTOP-F4VQ8OS,127.0.0.1,9.231845617294312,304500,21,[],[],420.249,34503.371,304500,304500,304500,14500,8.7,83.8,0.0,0.9040301305607027,0.6230038546255506,0.0010000000000000005,nan
nan,nan,nan,nan,0,0,319000,14500,319000,False,0,22,default,97737341c16f41d5838ecdcb0e66e3a0,2023-04-12_23-34-07,1681367647,0.467517614364624,9.699363231658936,12512,DESKTOP-F4VQ8OS,127.0.0.1,9.699363231658936,319000,22,[],[],418.499,34647.618,319000,319000,319000,14500,,,0.0,0.9010330892869555,0.6260324889867841,0.0010000000000000005,nan
nan,nan,nan,nan,0,0,333500,14500,333500,False,0,23,default,97737341c16f41d5838ecdcb0e66e3a0,2023-04-12_23-34-07,1681367647,0.4354593753814697,10.134822607040405,12512,DESKTOP-F4VQ8OS,127.0.0.1,10.134822607040405,333500,23,[],[],413.471,35068.962,333500,333500,333500,14500,9.8,83.7,0.0,0.9008931465085908,0.6225143783943243,0.0010000000000000005,nan
nan,nan,nan,nan,0,0,348000,14500,348000,False,0,24,default,97737341c16f41d5838ecdcb0e66e3a0,2023-04-12_23-34-07,1681367647,0.4510486125946045,10.58587121963501,12512,DESKTOP-F4VQ8OS,127.0.0.1,10.58587121963501,348000,24,[],[],413.013,35107.863,348000,348000,348000,14500,11.1,83.7,0.0,0.8977893438633318,0.6242351933722979,0.0010000000000000005,nan
nan,nan,nan,nan,0,0,362500,14500,362500,False,0,25,default,97737341c16f41d5838ecdcb0e66e3a0,2023-04-12_23-34-08,1681367648,0.449617862701416,11.035489082336426,12512,DESKTOP-F4VQ8OS,127.0.0.1,11.035489082336426,362500,25,[],[],412.221,35175.27,362500,362500,362500,14500,,,0.0,0.8934153914451599,0.6259636563876652,0.0010000000000000005,nan
nan,nan,nan,nan,0,0,377000,14500,377000,False,0,26,default,97737341c16f41d5838ecdcb0e66e3a0,2023-04-12_23-34-08,1681367648,0.44594621658325195,11.481435298919678,12512,DESKTOP-F4VQ8OS,127.0.0.1,11.481435298919678,377000,26,[],[],411.01,35278.955,377000,377000,377000,14500,8.6,83.7,0.0,0.8916888173981385,0.6275085657178567,0.0010000000000000005,nan
nan,nan,nan,nan,0,0,391500,14500,391500,False,0,27,default,97737341c16f41d5838ecdcb0e66e3a0,2023-04-12_23-34-09,1681367649,0.4389944076538086,11.920429706573486,12512,DESKTOP-F4VQ8OS,127.0.0.1,11.920429706573486,391500,27,[],[],411.91,35201.89,391500,391500,391500,14500,,,0.0,0.889780822829528,0.6287322564272103,0.0010000000000000005,nan
nan,nan,nan,nan,0,0,406000,14500,406000,False,0,28,default,97737341c16f41d5838ecdcb0e66e3a0,2023-04-12_23-34-09,1681367649,0.4300057888031006,12.350435495376587,12512,DESKTOP-F4VQ8OS,127.0.0.1,12.350435495376587,406000,28,[],[],409.971,35368.351,406000,406000,406000,14500,8.3,83.8,0.0,0.8883031021130767,0.6286328316785166,0.0010000000000000005,nan
nan,nan,nan,nan,0,0,420500,14500,420500,False,0,29,default,97737341c16f41d5838ecdcb0e66e3a0,2023-04-12_23-34-10,1681367650,0.4389925003051758,12.789427995681763,12512,DESKTOP-F4VQ8OS,127.0.0.1,12.789427995681763,420500,29,[],[],408.871,35463.491,420500,420500,420500,14500,9.6,83.7,0.0,0.8887370247147682,0.6296347282531503,0.0010000000000000005,nan
nan,nan,nan,nan,0,0,435000,14500,435000,False,0,30,default,97737341c16f41d5838ecdcb0e66e3a0,2023-04-12_23-34-10,1681367650,0.4379434585571289,13.227371454238892,12512,DESKTOP-F4VQ8OS,127.0.0.1,13.227371454238892,435000,30,[],[],408.165,35524.812,435000,435000,435000,14500,,,0.0,0.8848618111421358,0.627638582878701,0.0010000000000000005,nan
nan,nan,nan,nan,0,0,449500,14500,449500,False,0,31,default,97737341c16f41d5838ecdcb0e66e3a0,2023-04-12_23-34-11,1681367651,0.4465365409851074,13.673907995223999,12512,DESKTOP-F4VQ8OS,127.0.0.1,13.673907995223999,449500,31,[],[],407.317,35598.799,449500,449500,449500,14500,9.3,83.7,0.0,0.8815756222224971,0.6274397331187378,0.0010000000000000005,nan
nan,nan,nan,nan,0,0,464000,14500,464000,False,0,32,default,97737341c16f41d5838ecdcb0e66e3a0,2023-04-12_23-34-11,1681367651,0.44600415229797363,14.119912147521973,12512,DESKTOP-F4VQ8OS,127.0.0.1,14.119912147521973,464000,32,[],[],404.557,35841.702,464000,464000,464000,14500,8.2,83.8,0.0,0.8806270206027094,0.6285869431915787,0.0010000000000000005,nan
nan,nan,nan,nan,0,0,478500,14500,478500,False,0,33,default,97737341c16f41d5838ecdcb0e66e3a0,2023-04-12_23-34-11,1681367651,0.4596247673034668,14.57953691482544,12512,DESKTOP-F4VQ8OS,127.0.0.1,14.57953691482544,478500,33,[],[],406.767,35646.934,478500,478500,478500,14500,,,0.0,0.8794331348414989,0.6269426088501179,0.0010000000000000005,nan
nan,nan,nan,nan,0,0,493000,14500,493000,False,0,34,default,97737341c16f41d5838ecdcb0e66e3a0,2023-04-12_23-34-12,1681367652,0.44648313522338867,15.026020050048828,12512,DESKTOP-F4VQ8OS,127.0.0.1,15.026020050048828,493000,34,[],[],406.817,35642.584,493000,493000,493000,14500,9.2,83.8,0.0,0.8767386094589066,0.6285181105924598,0.0010000000000000005,nan
nan,nan,nan,nan,0,0,507500,14500,507500,False,0,35,default,97737341c16f41d5838ecdcb0e66e3a0,2023-04-12_23-34-12,1681367652,0.4479997158050537,15.474019765853882,12512,DESKTOP-F4VQ8OS,127.0.0.1,15.474019765853882,507500,35,[],[],406.455,35674.296,507500,507500,507500,14500,8.7,83.8,0.0,0.8763762547056055,0.633359336642967,0.0010000000000000005,nan
nan,nan,nan,nan,0,0,522000,14500,522000,False,0,36,default,97737341c16f41d5838ecdcb0e66e3a0,2023-04-12_23-34-13,1681367653,0.4820389747619629,15.956058740615845,12512,DESKTOP-F4VQ8OS,127.0.0.1,15.956058740615845,522000,36,[],[],411.172,35265.059,522000,522000,522000,14500,,,0.0,0.8737027834165464,0.6313173030441553,0.0010000000000000005,nan
nan,nan,nan,nan,0,0,536500,14500,536500,False,0,37,default,97737341c16f41d5838ecdcb0e66e3a0,2023-04-12_23-34-13,1681367653,0.4531288146972656,16.40918755531311,12512,DESKTOP-F4VQ8OS,127.0.0.1,16.40918755531311,536500,37,[],[],411.887,35203.791,536500,536500,536500,14500,11.4,83.8,0.0,0.870527674710698,0.6309272515616228,0.0010000000000000005,nan
nan,nan,nan,nan,0,0,551000,14500,551000,False,0,38,default,97737341c16f41d5838ecdcb0e66e3a0,2023-04-12_23-34-14,1681367654,0.45194053649902344,16.861128091812134,12512,DESKTOP-F4VQ8OS,127.0.0.1,16.861128091812134,551000,38,[],[],413.288,35084.487,551000,551000,551000,14500,9.4,83.7,0.0,0.8711971076049468,0.6304683674799714,0.0010000000000000005,nan
nan,nan,nan,nan,0,0,565500,14500,565500,False,0,39,default,97737341c16f41d5838ecdcb0e66e3a0,2023-04-12_23-34-14,1681367654,0.45699596405029297,17.318124055862427,12512,DESKTOP-F4VQ8OS,127.0.0.1,17.318124055862427,565500,39,[],[],414.582,34975.0,565500,565500,565500,14500,,,0.0,0.8687322670142557,0.6330687101717037,0.0010000000000000005,nan
nan,nan,nan,nan,0,0,580000,14500,580000,False,0,40,default,97737341c16f41d5838ecdcb0e66e3a0,2023-04-12_23-34-15,1681367655,0.4510025978088379,17.769126653671265,12512,DESKTOP-F4VQ8OS,127.0.0.1,17.769126653671265,580000,40,[],[],414.982,34941.274,580000,580000,580000,14500,9.6,83.7,0.0,0.8681892823542793,0.635539035702592,0.0010000000000000005,nan
nan,nan,nan,nan,0,0,594500,14500,594500,False,0,41,default,97737341c16f41d5838ecdcb0e66e3a0,2023-04-12_23-34-15,1681367655,0.44600677490234375,18.21513342857361,12512,DESKTOP-F4VQ8OS,127.0.0.1,18.21513342857361,594500,41,[],[],414.93,34945.639,594500,594500,594500,14500,,,0.0,0.8667170103426022,0.6317073542641123,0.0010000000000000005,nan
nan,nan,nan,nan,0,0,609000,14500,609000,False,0,42,default,97737341c16f41d5838ecdcb0e66e3a0,2023-04-12_23-34-16,1681367656,0.45599961280822754,18.671133041381836,12512,DESKTOP-F4VQ8OS,127.0.0.1,18.671133041381836,609000,42,[],[],416.139,34844.144,609000,609000,609000,14500,9.6,83.8,0.0,0.8638391862356716,0.6345983234271079,0.0010000000000000005,nan
nan,nan,nan,nan,0,0,623500,14500,623500,False,0,43,default,97737341c16f41d5838ecdcb0e66e3a0,2023-04-12_23-34-16,1681367656,0.4751002788543701,19.146233320236206,12512,DESKTOP-F4VQ8OS,127.0.0.1,19.146233320236206,623500,43,[],[],418.387,34656.947,623500,623500,623500,14500,8.7,83.8,0.0,0.8614907795112039,0.6360438080086057,0.0010000000000000005,nan
nan,nan,nan,nan,0,0,638000,14500,638000,False,0,44,default,97737341c16f41d5838ecdcb0e66e3a0,2023-04-12_23-34-17,1681367657,0.4362986087799072,19.582531929016113,12512,DESKTOP-F4VQ8OS,127.0.0.1,19.582531929016113,638000,44,[],[],416.461,34817.222,638000,638000,638000,14500,,,0.0,0.8605699384265009,0.6321968307579141,0.0010000000000000005,nan
nan,nan,nan,nan,0,0,652500,14500,652500,False,0,45,default,97737341c16f41d5838ecdcb0e66e3a0,2023-04-12_23-34-17,1681367657,0.44506192207336426,20.027593851089478,12512,DESKTOP-F4VQ8OS,127.0.0.1,20.027593851089478,652500,45,[],[],415.461,34900.958,652500,652500,652500,14500,8.9,83.7,0.0,0.8615481585658069,0.6372445546057781,0.0010000000000000005,nan
nan,nan,nan,nan,0,0,667000,14500,667000,False,0,46,default,97737341c16f41d5838ecdcb0e66e3a0,2023-04-12_23-34-17,1681367657,0.4250071048736572,20.452600955963135,12512,DESKTOP-F4VQ8OS,127.0.0.1,20.452600955963135,667000,46,[],[],410.751,35301.22,667000,667000,667000,14500,7.4,83.8,0.0,0.858523124377633,0.6345294908279889,0.0010000000000000005,nan
nan,nan,nan,nan,0,0,681500,14500,681500,False,0,47,default,97737341c16f41d5838ecdcb0e66e3a0,2023-04-12_23-34-18,1681367658,0.46364784240722656,20.91624879837036,12512,DESKTOP-F4VQ8OS,127.0.0.1,20.91624879837036,681500,47,[],[],412.102,35185.431,681500,681500,681500,14500,,,0.0,0.856862643216675,0.6363956193041697,0.0010000000000000005,nan
nan,nan,nan,nan,0,0,696000,14500,696000,False,0,48,default,97737341c16f41d5838ecdcb0e66e3a0,2023-04-12_23-34-18,1681367658,0.48306918144226074,21.399317979812622,12512,DESKTOP-F4VQ8OS,127.0.0.1,21.399317979812622,696000,48,[],[],415.108,34930.67,696000,696000,696000,14500,9.0,83.8,0.0,0.85524545288296,0.6347512849627087,0.0010000000000000005,nan
nan,nan,nan,nan,0,0,710500,14500,710500,False,0,49,default,97737341c16f41d5838ecdcb0e66e3a0,2023-04-12_23-34-19,1681367659,0.44000816345214844,21.83932614326477,12512,DESKTOP-F4VQ8OS,127.0.0.1,21.83932614326477,710500,49,[],[],414.715,34963.74,710500,710500,710500,14500,9.5,83.7,0.0,0.8544197801976477,0.6340859030837004,0.0010000000000000005,nan
nan,nan,nan,nan,0,0,725000,14500,725000,False,0,50,default,97737341c16f41d5838ecdcb0e66e3a0,2023-04-12_23-34-19,1681367659,0.445995569229126,22.285321712493896,12512,DESKTOP-F4VQ8OS,127.0.0.1,22.285321712493896,725000,50,[],[],414.314,34997.584,725000,725000,725000,14500,,,0.0,0.8549370103995706,0.6341853278323942,0.0010000000000000005,nan
nan,nan,nan,nan,0,0,739500,14500,739500,False,0,51,default,97737341c16f41d5838ecdcb0e66e3a0,2023-04-12_23-34-20,1681367660,0.4389767646789551,22.72429847717285,12512,DESKTOP-F4VQ8OS,127.0.0.1,22.72429847717285,739500,51,[],[],414.121,35013.908,739500,739500,739500,14500,8.8,83.7,0.0,0.8504670005012714,0.6356155163391046,0.0010000000000000005,nan
nan,nan,nan,nan,0,0,754000,14500,754000,False,0,52,default,97737341c16f41d5838ecdcb0e66e3a0,2023-04-12_23-34-20,1681367660,0.4560544490814209,23.180352926254272,12512,DESKTOP-F4VQ8OS,127.0.0.1,23.180352926254272,754000,52,[],[],413.227,35089.69,754000,754000,754000,14500,9.7,83.8,0.0,0.8508267231974833,0.6361661771320561,0.0010000000000000005,nan
nan,nan,nan,nan,0,0,768500,14500,768500,False,0,53,default,97737341c16f41d5838ecdcb0e66e3a0,2023-04-12_23-34-21,1681367661,0.43492770195007324,23.615280628204346,12512,DESKTOP-F4VQ8OS,127.0.0.1,23.615280628204346,768500,53,[],[],408.816,35468.25,768500,768500,768500,14500,,,0.0,0.8502852105359149,0.6373516273918656,0.0010000000000000005,nan
