episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,timesteps_this_iter,agent_timesteps_total,done,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,hist_stats/episode_reward,hist_stats/episode_lengths,timers/learn_time_ms,timers/learn_throughput,info/num_steps_sampled,info/num_agent_steps_sampled,info/num_steps_trained,info/num_steps_trained_this_iter,perf/cpu_util_percent,perf/ram_util_percent,info/learner/default_policy/learner_stats/allreduce_latency,info/learner/default_policy/learner_stats/bc_loss,info/learner/default_policy/learner_stats/accuracy,info/learner/default_policy/learner_stats/cur_lr,info/learner/default_policy/learner_stats/validation/cross_entropy
nan,nan,nan,nan,0,0,14500,14500,14500,False,0,1,default,78b6e126d47641e6bf8625c4aab455bb,2023-04-12_23-46-29,1681368389,0.465008020401001,0.465008020401001,11088,DESKTOP-F4VQ8OS,127.0.0.1,0.465008020401001,14500,1,[],[],429.005,33799.147,14500,14500,14500,14500,20.7,85.2,0.0,1.2719442660588,0.6013904185022027,0.0010000000000000005,nan
nan,nan,nan,nan,0,0,29000,14500,29000,False,0,2,default,78b6e126d47641e6bf8625c4aab455bb,2023-04-12_23-46-30,1681368390,0.40107154846191406,0.866079568862915,11088,DESKTOP-F4VQ8OS,127.0.0.1,0.866079568862915,29000,2,[],[],399.001,36340.728,29000,29000,29000,14500,9.2,85.4,0.0,1.1121970055386883,0.604487885462555,0.0010000000000000005,nan
nan,nan,nan,nan,0,0,43500,14500,43500,False,0,3,default,78b6e126d47641e6bf8625c4aab455bb,2023-04-12_23-46-30,1681368390,0.3971235752105713,1.2632031440734863,11088,DESKTOP-F4VQ8OS,127.0.0.1,1.2632031440734863,43500,3,[],[],387.699,37400.12,43500,43500,43500,14500,,,0.0,1.0529414097643108,0.6079448114932896,0.0010000000000000005,nan
nan,nan,nan,nan,0,0,58000,14500,58000,False,0,4,default,78b6e126d47641e6bf8625c4aab455bb,2023-04-12_23-46-30,1681368390,0.3985738754272461,1.6617770195007324,11088,DESKTOP-F4VQ8OS,127.0.0.1,1.6617770195007324,58000,4,[],[],382.917,37867.257,58000,58000,58000,14500,9.6,85.4,0.0,1.0190618970320613,0.612051823328245,0.0010000000000000005,nan
nan,nan,nan,nan,0,0,72500,14500,72500,False,0,5,default,78b6e126d47641e6bf8625c4aab455bb,2023-04-12_23-46-31,1681368391,0.4010910987854004,2.062868118286133,11088,DESKTOP-F4VQ8OS,127.0.0.1,2.062868118286133,72500,5,[],[],380.352,38122.55,72500,72500,72500,14500,,,0.0,0.9996399023459346,0.6093138154382748,0.0010000000000000005,nan
nan,nan,nan,nan,0,0,87000,14500,87000,False,0,6,default,78b6e126d47641e6bf8625c4aab455bb,2023-04-12_23-46-31,1681368391,0.4180004596710205,2.4808685779571533,11088,DESKTOP-F4VQ8OS,127.0.0.1,2.4808685779571533,87000,6,[],[],381.127,38045.069,87000,87000,87000,14500,10.1,85.4,0.0,0.981264110966401,0.6102927679007274,0.0010000000000000005,nan
nan,nan,nan,nan,0,0,101500,14500,101500,False,0,7,default,78b6e126d47641e6bf8625c4aab455bb,2023-04-12_23-46-32,1681368392,0.44326353073120117,2.9241321086883545,11088,DESKTOP-F4VQ8OS,127.0.0.1,2.9241321086883545,101500,7,[],[],385.29,37634.029,101500,101500,101500,14500,8.6,85.6,0.0,0.9675054694587438,0.6136043806958303,0.0010000000000000005,nan
nan,nan,nan,nan,0,0,116000,14500,116000,False,0,8,default,78b6e126d47641e6bf8625c4aab455bb,2023-04-12_23-46-32,1681368392,0.40512657165527344,3.329258680343628,11088,DESKTOP-F4VQ8OS,127.0.0.1,3.329258680343628,116000,8,[],[],383.645,37795.402,116000,116000,116000,14500,,,0.0,0.9593946203786371,0.6145145008217395,0.0010000000000000005,nan
nan,nan,nan,nan,0,0,130500,14500,130500,False,0,9,default,78b6e126d47641e6bf8625c4aab455bb,2023-04-12_23-46-33,1681368393,0.4370086193084717,3.7662672996520996,11088,DESKTOP-F4VQ8OS,127.0.0.1,3.7662672996520996,130500,9,[],[],386.24,37541.463,130500,130500,130500,14500,9.0,85.7,0.0,0.95036791284704,0.6172678047864972,0.0010000000000000005,nan
nan,nan,nan,nan,0,0,145000,14500,145000,False,0,10,default,78b6e126d47641e6bf8625c4aab455bb,2023-04-12_23-46-33,1681368393,0.4978299140930176,4.264097213745117,11088,DESKTOP-F4VQ8OS,127.0.0.1,4.264097213745117,145000,10,[],[],393.799,36820.831,145000,145000,145000,14500,7.9,85.7,0.0,0.9449437236995949,0.6169924743900215,0.0010000000000000005,nan
